,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
176,1,0,3,2,0,1,1,0,True,True,True,True
177,2,0,3,2,0,1,1,0,True,True,True,False
178,3,0,3,2,0,1,1,0,True,True,True,True
179,4,0,3,2,0,1,1,0,True,True,True,True
180,1,1,2,2,0,0,0,0,False,True,False,False
181,2,1,2,2,0,0,0,0,False,False,False,False
182,3,1,2,2,0,0,0,0,False,False,False,False
183,4,1,2,2,0,0,0,0,False,True,False,False
184,1,1,1,1,0,0,1,1,True,True,False,False
185,2,1,1,1,0,0,1,1,True,True,False,False
186,3,1,1,1,0,0,1,1,True,True,False,False
187,4,1,1,1,0,0,1,1,True,True,False,False
188,1,1,1,0,0,0,1,0,False,True,True,True
189,2,1,1,0,0,0,1,0,False,True,False,True
190,3,1,1,0,0,0,1,0,False,True,False,True
191,4,1,1,0,0,0,1,0,True,True,True,True
192,1,1,1,0,0,0,1,0,True,True,True,True
193,2,1,1,0,0,0,1,0,True,True,True,True
194,3,1,1,0,0,0,1,0,False,True,True,True
195,4,1,1,0,0,0,1,0,True,True,True,True
196,1,1,1,1,0,0,1,0,False,False,True,True
197,2,1,1,1,0,0,1,0,False,False,True,True
198,3,1,1,1,0,0,1,0,False,False,True,True
199,4,1,1,1,0,0,1,0,False,False,True,True
200,1,1,2,1,0,0,1,1,True,True,False,True
201,2,1,2,1,0,0,1,1,True,True,False,True
202,3,1,2,1,0,0,1,1,True,True,False,True
203,4,1,2,1,0,0,1,1,True,True,False,True
204,1,1,2,0,0,1,1,1,True,True,False,False
205,2,1,2,0,0,1,1,1,True,True,False,False
206,3,1,2,0,0,1,1,1,True,True,False,False
207,4,1,2,0,0,1,1,1,True,True,False,False
208,1,1,0,0,0,0,0,0,False,False,True,True
209,2,1,0,0,0,0,0,0,False,False,True,True
210,3,1,0,0,0,0,0,0,False,False,False,True
211,4,1,0,0,0,0,0,0,False,False,True,True
212,1,1,1,1,0,0,1,1,True,True,True,False
213,2,1,1,1,0,0,1,1,True,True,True,False
214,3,1,1,1,0,0,1,1,True,True,True,False
215,4,1,1,1,0,0,1,1,True,True,True,False
216,1,1,1,1,0,0,0,1,True,True,True,False
217,2,1,1,1,0,0,0,1,True,True,True,False
218,3,1,1,1,0,0,0,1,True,True,False,False
219,4,1,1,1,0,0,0,1,True,True,True,True
220,1,1,1,0,0,0,1,1,True,True,True,True
221,2,1,1,0,0,0,1,1,True,True,True,True
222,3,1,1,0,0,0,1,1,False,True,True,True
223,4,1,1,0,0,0,1,1,True,True,True,True
224,1,1,1,1,0,0,1,1,True,True,True,True
225,2,1,1,1,0,0,1,1,True,True,True,False
226,3,1,1,1,0,0,1,1,True,True,True,True
227,4,1,1,1,0,0,1,1,True,True,True,True
228,1,1,1,1,1,0,0,1,True,True,False,False
229,2,1,1,1,1,0,0,1,True,True,False,False
230,3,1,1,1,1,0,0,1,True,True,False,False
231,4,1,1,1,1,0,0,1,True,True,False,False
